,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Tweets,Length,ID,Date,Likes,Retweets,Sentiment,Feature Words (Porter),Feature Words (Lancaster),Words
175,175,175,175,175,175,175,175,"Today, it was my great honor to sign a Presidential Memorandum launching the Women’s Global Development and Prosper… https://t.co/iaPQDYqawI",140,1093656560264466433,2019-02-07 23:43:37,84582,18530,,"['today', 'great', 'honor', 'sign', 'presidenti', 'memorandum', 'launch', 'women', 'global', 'develop', 'link']","['today', 'gre', 'hon', 'sign', 'presid', 'memorand', 'launch', 'wom', 'glob', 'develop', 'link']","Today, it was my great honor to sign a Presidential Memorandum launching the Women’s Global Development and Prosper… LINK"
176,176,176,176,176,176,176,176,2019 National Prayer Breakfast https://t.co/cKvv3ygOOt,54,1093529884104843265,2019-02-07 15:20:15,68672,16385,,"['nation', 'prayer', 'breakfast', 'link']","['nat', 'pray', 'breakfast', 'link']",2019 National Prayer Breakfast LINK
177,177,177,177,177,177,177,177,PRESIDENTIAL HARASSMENT! It should never be allowed to happen again!,68,1093489029780332545,2019-02-07 12:37:55,162750,32646,,"['presidenti', 'harass', 'it', 'never', 'allow', 'happen']","['presid', 'harass', 'it', 'nev', 'allow', 'hap']",PRESIDENTIAL HARASSMENT! It should never be allowed to happen again!
178,178,178,178,178,178,178,178,"Democrats at the top are killing the Great State of Virginia. If the three failing pols were Republicans, far stron… https://t.co/qGGBMs95zF",140,1093488317604216832,2019-02-07 12:35:05,100754,22592,,"['democrat', 'top', 'kill', 'great', 'state', 'virginia', 'if', 'three', 'fail', 'pol', 'republican', 'far', 'link']","['democr', 'top', 'kil', 'gre', 'stat', 'virgin', 'if', 'three', 'fail', 'pol', 'republ', 'far', 'link']","Democrats at the top are killing the Great State of Virginia. If the three failing pols were Republicans, far stron… LINK"
179,179,179,179,179,179,179,179,"....The Dems and their committees are going “nuts.” The Republicans never did this to President Obama, there would… https://t.co/K002FWQZGI",139,1093471134845190145,2019-02-07 11:26:48,116610,26824,,"['dem', 'committe', 'go', 'the', 'republican', 'never', 'presid', 'obama', 'link']","['dem', 'commit', 'going', 'the', 'republ', 'nev', 'presid', 'obam', 'link']","....The Dems and their committees are going “nuts.” The Republicans never did this to President Obama, there would… LINK"
180,180,180,180,180,180,180,180,"So now Congressman Adam Schiff announces, after having found zero Russian Collusion, that he is going to be looking… https://t.co/xwGh0o6S4X",140,1093467800964866048,2019-02-07 11:13:34,160402,39245,,"['so', 'congressman', 'adam', 'schiff', 'announc', 'found', 'zero', 'russian', 'collus', 'go', 'link']","['so', 'congressm', 'adam', 'schiff', 'annount', 'found', 'zero', 'russ', 'collud', 'going', 'link']","So now Congressman Adam Schiff announces, after having found zero Russian Collusion, that he is going to be looking… LINK"
181,181,181,181,181,181,181,181,https://t.co/tUDYZrc6w0,23,1093271658977218560,2019-02-06 22:14:10,189909,42971,,['link'],['link'],LINK
182,182,182,182,182,182,182,182,"RT @realDonaldTrump: #SOTU
https://t.co/kL6SoClx4K",50,1093201175455911939,2019-02-06 17:34:05,0,29191,,"['rt', 'at_us', 'sotu', 'link']","['rt', 'at_user', 'sotu', 'link']","RT AT_USER #SOTU
LINK"
183,183,183,183,183,183,183,183,"#SOTU
https://t.co/kL6SoClx4K",29,1092991438579732482,2019-02-06 03:40:40,141522,29191,,"['sotu', 'link']","['sotu', 'link']","#SOTU
LINK"
184,184,184,184,184,184,184,184,Looking forward to tonight! #SOTU https://t.co/lGKkZeaxUZ,57,1092901071910043648,2019-02-05 21:41:35,89751,18333,,"['look', 'forward', 'tonight', 'sotu', 'link']","['look', 'forward', 'tonight', 'sotu', 'link']",Looking forward to tonight! #SOTU LINK
185,185,185,185,185,185,185,185,"Melania and I send our greetings to those celebrating the Lunar New Year. Today, people across the United States an… https://t.co/YVDWyIJVir",140,1092832363913072644,2019-02-05 17:08:34,88195,15762,,"['melania', 'i', 'send', 'greet', 'celebr', 'lunar', 'new', 'year', 'today', 'peopl', 'across', 'unit', 'state', 'link']","['melan', 'i', 'send', 'greet', 'celebr', 'lun', 'new', 'year', 'today', 'peopl', 'across', 'unit', 'stat', 'link']","Melania and I send our greetings to those celebrating the Lunar New Year. Today, people across the United States an… LINK"
186,186,186,186,186,186,186,186,"I see Schumer is already criticizing my State of the Union speech, even though he hasn’t seen it yet. He’s just ups… https://t.co/ymjsJEe8Ut",140,1092807525102247938,2019-02-05 15:29:52,150393,30070,,"['i', 'see', 'schumer', 'alreadi', 'critic', 'state', 'union', 'speech', 'even', 'though', 'seen', 'yet', 'he', 'link']","['i', 'see', 'schumer', 'already', 'crit', 'stat', 'un', 'speech', 'ev', 'though', 'seen', 'yet', 'he', 'link']","I see Schumer is already criticizing my State of the Union speech, even though he hasn’t seen it yet. He’s just ups… LINK"
